pair;A;B;ms;gar;interval;parson;shapetime
1;DEUT4398.JSON;DEUT4398.JSON;1;1;1;1;6,5514
2;DEUT4398.JSON;DEUT4399.JSON;0,43;0,146179402;0,2794117647;0,5294117647;-0,0480226
3;DEUT4398.JSON;DEUT4400.JSON;0,4449404762;0,1160714286;0,2783505155;0,5360824742;0,04099355
4;DEUT4398.JSON;DEUT4401.JSON;0,2966666667;0,2766666667;0,2794117647;0,3676470588;-0,13636364
5;DEUT4398.JSON;DEUT4402.JSON;0,31;0,1066666667;0,25;0,6176470588;-0,07758364
6;DEUT4398.JSON;DEUT4403.JSON;0,2566666667;0,0866666667;0,25;0,3823529412;-0,1884058
7;DEUT4398.JSON;DEUT4404.JSON;0,3533333333;0,24;0,2794117647;0,3970588235;0,06468782
8;DEUT4398.JSON;DEUT4405.JSON;0,1966666667;0,1578947368;0,25;0,4264705882;-0,16666667
9;DEUT4398.JSON;DEUT4406.JSON;0,3416666667;0,0192926045;0,3088235294;0,4705882353;-0,0952381
10;DEUT4398.JSON;DEUT4407.JSON;0,4565217391;0,2038043478;0,3296703297;0,5604395604;-0,03844667
11;DEUT4398.JSON;DEUT4408.JSON;0,4716666667;0,0766666667;0,2058823529;0,6029411765;-0,03706486
12;DEUT4398.JSON;DEUT4409.JSON;0,3347039474;0,0098684211;0,2647058824;0,5735294118;-0,02504073
13;DEUT4398.JSON;DEUT4410.JSON;0,4786184211;0,1710526316;0,2647058824;0,5441176471;-0,04536708
14;DEUT4398.JSON;DEUT4411.JSON;0,2666666667;0,2066666667;0,1176470588;0,3529411765;-0,08309499
15;DEUT4398.JSON;DEUT4412.JSON;0,3666666667;0,2450331126;0,3235294118;0,5441176471;-0,06672953
16;DEUT4398.JSON;DEUT4413.JSON;0,31;0,0733333333;0,3088235294;0,6029411765;-0,09142961
17;DEUT4398.JSON;DEUT4414.JSON;0,4266666667;0,11;0,3529411765;0,6470588235;0,02661637
18;DEUT4398.JSON;DEUT4415.JSON;0,15;0,0149253731;0,3235294118;0,5735294118;-0,03016175
19;DEUT4398.JSON;DEUT4416.JSON;0,4266666667;0,2417218543;0,2753623188;0,5797101449;0,02491071
20;DEUT4398.JSON;DEUT4417.JSON;0,2164855072;0,008;0,3333333333;0,4772727273;-0,02542373
21;DEUT4398.JSON;DEUT4418.JSON;0,4766666667;0,3166666667;0,3088235294;0,4852941176;-0,16666667
22;DEUT4398.JSON;DEUT4419.JSON;0,32;0,0333333333;0,25;0,5588235294;-0,03499956
23;DEUT4398.JSON;DEUT4420.JSON;0,3166666667;0,03;0,2647058824;0,5588235294;-0,03499956
24;DEUT4398.JSON;DEUT4421.JSON;0,35;0,1466666667;0,25;0,3676470588;-0,1108527
25;DEUT4398.JSON;DEUT4422.JSON;0,485;0,2233333333;0,3088235294;0,5;-0,05725855
26;DEUT4398.JSON;DEUT4423.JSON;0,3775;0,1525;0,2857142857;0,5595238095;-0,03895219
27;DEUT4398.JSON;DEUT4424.JSON;0,1666666667;0,1282894737;0,2647058824;0,3676470588;-0,08230619
28;DEUT4398.JSON;DEUT4425.JSON;0,3066666667;0,12;0,3529411765;0,5147058824;-0,04166667
29;DEUT4398.JSON;DEUT4426.JSON;0,3033333333;0,2366666667;0,3676470588;0,5441176471;-0,06296296
30;DEUT4398.JSON;DEUT4427.JSON;0,1133333333;0,0132013201;0,3243243243;0,527027027;-0,04382141
31;DEUT4398.JSON;DEUT4428.JSON;0,26;0,1875;0,3529411765;0,5147058824;-0,06274037
32;DEUT4398.JSON;DEUT4429.JSON;0,3466666667;0,09;0,2794117647;0,4117647059;-0,05909612
33;DEUT4398.JSON;DEUT4430.JSON;0,13;0,0299003322;0,2794117647;0,4117647059;-0,02858759
34;DEUT4398.JSON;DEUT4431.JSON;0,38;0,25;0,3823529412;0,4411764706;-0,06185467
35;DEUT4398.JSON;DEUT4432.JSON;0,35;0,2833333333;0,2352941176;0,4117647059;-0,14768813
36;DEUT4398.JSON;DEUT4433.JSON;0,1;0,0231788079;0,25;0,5882352941;0,01055374
37;DEUT4398.JSON;DEUT4434.JSON;0,395;0,1589403974;0,2790697674;0,5348837209;-0,08133399
38;DEUT4398.JSON;DEUT4435.JSON;0,3911111111;0,1991247265;0,3382352941;0,5735294118;-0,04537838
39;DEUT4398.JSON;DEUT4436.JSON;0,3433333333;0,24;0,2794117647;0,4411764706;-0,05987654
40;DEUT4398.JSON;DEUT4437.JSON;0,36;0,2483443709;0,4117647059;0,6176470588;0,16341157
41;DEUT4398.JSON;DEUT4438.JSON;0,3900862069;0,0114285714;0,3529411765;0,6176470588;0,0309619
42;DEUT4398.JSON;DEUT4439.JSON;0,2110849057;0;0,3571428571;0,5595238095;-0,03606212
43;DEUT4398.JSON;DEUT4440.JSON;0,4266666667;0,1059602649;0,3529411765;0,5588235294;-0,03321825
44;DEUT4398.JSON;DEUT4441.JSON;0,33;0,1866666667;0,3382352941;0,5294117647;-0,06081081
45;DEUT4398.JSON;DEUT4442.JSON;0,2833333333;0,1217105263;0,2794117647;0,5441176471;-0,04142614
46;DEUT4398.JSON;DEUT4443.JSON;0,3033333333;0,1315789474;0,3235294118;0,5441176471;-0,06142614
47;DEUT4398.JSON;DEUT4444.JSON;0,4609375;0,2239583333;0,3076923077;0,5384615385;-0,03246281
48;DEUT4398.JSON;DEUT4445.JSON;0,15;0,0231023102;0,3421052632;0,5263157895;-0,02542373
49;DEUT4398.JSON;DEUT4446.JSON;0,3033333333;0,1414473684;0,3088235294;0,5294117647;-0,07692308
50;DEUT4398.JSON;DEUT4447.JSON;0,465;0,1933333333;0,2941176471;0,5294117647;-0,03546862
51;DEUT4398.JSON;DEUT4448.JSON;0,36875;2,22044604925031E-16;0,3181818182;0,5909090909;-0,02312919
52;DEUT4398.JSON;DEUT4449.JSON;0,3958333333;0,1614583333;0,3083333333;0,5;-0,0177631
53;DEUT4398.JSON;DEUT4450.JSON;0,3984375;0,0598958333;0,3363636364;0,5545454545;-0,02135683
54;DEUT4398.JSON;DEUT4451.JSON;0,4433333333;0,201986755;0,2794117647;0,4852941176;-0,07083333
55;DEUT4398.JSON;DEUT4452.JSON;0,2733333333;0,21;0,3235294118;0,5294117647;-0,0462963
56;DEUT4398.JSON;DEUT4453.JSON;0,2;0,1710526316;0,2941176471;0,4117647059;-0,08778129
57;DEUT4398.JSON;DEUT4454.JSON;0,21;0,1743421053;0,3088235294;0,4264705882;-0,06547619
58;DEUT4398.JSON;DEUT4455.JSON;0,2649456522;0,0043763676;0,3088235294;0,4411764706;-0,05293999
59;DEUT4398.JSON;DEUT4456.JSON;0,14;0,1066666667;0,2941176471;0,4117647059;-0,0696437
60;DEUT4398.JSON;DEUT4457.JSON;0,4140625;0,0338541667;0,3333333333;0,5268817204;-0,04586437
61;DEUT4398.JSON;DEUT4458.JSON;0,2933333333;0,0066006601;0,2647058824;0,5588235294;-0,02120713
62;DEUT4398.JSON;DEUT4459.JSON;0,428125;0,1666666667;0,2666666667;0,52;-0,03675732
63;DEUT4398.JSON;DEUT4460.JSON;0,335;0,0099009901;0,3295454545;0,5340909091;-0,05649718
64;DEUT4398.JSON;DEUT4461.JSON;0,25;0,0047058824;0,2721893491;0,3668639053;-0,05649718
65;DEUT4398.JSON;DEUT4462.JSON;0,4433333333;0,1333333333;0,2647058824;0,5441176471;-0,05543476
66;DEUT4398.JSON;DEUT4463.JSON;0,1366666667;0,0627062706;0,4117647059;0,6029411765;-0,03409091
67;DEUT4398.JSON;DEUT4464.JSON;0,2566666667;0,1059602649;0,1428571429;0,5428571429;-0,0476396
68;DEUT4398.JSON;DEUT4465.JSON;0,1766666667;0,0032786885;0,3414634146;0,5975609756;-0,01614719
69;DEUT4398.JSON;DEUT4466.JSON;0,2017463235;0,0036363636;0,34;0,55;-0,03677179
70;DEUT4398.JSON;DEUT4467.JSON;0,4433333333;0,1677631579;0,3235294118;0,5882352941;-0,06432108
71;DEUT4398.JSON;DEUT4468.JSON;0,2533333333;0,1546052632;0,2647058824;0,5735294118;-0,06609677
72;DEUT4398.JSON;DEUT4469.JSON;0,19;0,0528052805;0,3333333333;0,5797101449;-0,01423778
73;DEUT4398.JSON;DEUT4470.JSON;0,0833333333;0,0099009901;0,3382352941;0,5735294118;-0,04336162
74;DEUT4398.JSON;DEUT4471.JSON;0,35;0,0062305296;0,2555555556;0,5222222222;-0,05084746
75;DEUT4398.JSON;DEUT4472.JSON;0,21;0,1291390728;0,3529411765;0,5147058824;0,1160256
76;DEUT4398.JSON;DEUT4473.JSON;0,44;0,2133333333;0,3088235294;0,5294117647;0,02164113
