Statistiken;;;;;
;;ms_ju;gar_ju;interval_ju;parson_ju
N;Gültig;11236;11236;11236;11236
;Fehlend;0;0;0;0
Mittelwert;;0.434785057407858;0.431646008014108;0.290606580032923;0.494604886134581
Standardfehler des Mittelwertes;;0.001397783896498;0.000837086875556;0.000475015058715;0.000851696915182
Median;;,454621435000000a;,438505905000000a;,294334977000000a;,514310896000000a
Modus;;0.405962641455938;,328269927000000c;0.278571430000000;,513888890000000c
Standardabweichung;;0.148165093028798;0.088731208808934;0.050351596223830;0.090279873009329
Varianz;;0.022;0.008;0.003;0.008
Schiefe;;-0.497;-1.111;-1.584;-1.833
Standardfehler der Schiefe;;0.023;0.023;0.023;0.023
Kurtosis;;-0.567;3.408;6.826;6.192
Standardfehler der Kurtosis;;0.046;0.046;0.046;0.046
Spannweite;;0.752202141252268;0.662855153783783;0.477883477843138;0.746927640344827
Minimum;;0.003264480000000;0.003264480000000;0.003264480000000;0.003264480000000
Maximum;;0.755466621252268;0.666119633783783;0.481147957843138;0.750192120344827
Summe;;4885.244905034690000;4849.974546046510000;3265.255533249920000;5557.380500608150000
Perzentile;5;,166518146000000b;,292919639000000b;,212386804000000b;,336739472000000b
;10;0.218056892211722;0.327255514333333;0.235632205153846;0.382254250333332
;25;0.330373591774945;0.381552777162162;0.266205583394383;0.453283792702703
;50;0.454621434680714;0.438505905000000;0.294334977403237;0.514310896000000
;75;0.562687918912078;0.491514843333333;0.321462236262223;0.554890698255361
;90;0.608701035616858;0.535521106421052;0.345579277668217;0.583333333176470
;95;0.626297825743295;0.558205450222222;0.361201514606060;0.599360598449867
a. Aus gruppierten Daten berechnet;;;;;
b. Perzentile werden aus gruppierten Daten berechnet.;;;;;
c. Mehrere Modi vorhanden. Der kleinste Wert wird angezeigt.;;;;;
