Statistiken;;;;;;
;;ms;gar;interval;parson;ju
N;Gültig;11236;11236;11236;11236;11236
;Fehlend;0;0;0;0;0
Mittelwert;;0.428917089531319;0.425719915105946;0.284749771131032;0.488826595321380;-0.005667430140619
Standardfehler des Mittelwertes;;0.001616307010040;0.001069852451506;0.000919656774352;0.001035404262974;0.001022940306715
Median;;0.442949507389162;0.423385416666666;0.275862068965517;0.500000000000000;-0.018518520000000
Standardabweichung;;0.171328543064218;0.113404359859668;0.097483618081340;0.109752851875262;0.108431672511807
Varianz;;0.029;0.013;0.010;0.012;0.012
Spannweite;;0.963099953401678;0.994772608468374;0.960000000000000;0.857988165680474;1.086876950000000
Minimum;;0.036900046598322;0.005227391531626;0.040000000000000;0.142011834319526;-0.090141430000000
Maximum;;1.000000000000000;1.000000000000000;1.000000000000000;1.000000000000000;0.996735520000000
Perzentile;5;0.129310344827586;0.257129629629630;0.175824175824175;0.300000000000000;-0.057226470000000
;10;0.185476884719405;0.295156250000000;0.199999999999999;0.347826086956521;-0.046725730000000
;25;0.307022270114943;0.357013888888889;0.236842105263157;0.426666666666666;-0.032504860000000
;50;0.442949507389162;0.423385416666666;0.275862068965517;0.500000000000000;-0.018518520000000
;75;0.559027777777777;0.488437500000000;0.317073170731707;0.552631578947368;-0.009259260000000
;90;0.619382183908045;0.545187500000000;0.357142857142857;0.593220338983050;0.014628110000000
;95;0.654184626436781;0.586000000000000;0.386363636363636;0.620689655172413;0.037315780000000
