Ränge;;;;
;;N;Mittlerer Rang;Rangsumme
ju - ms;Negative Ränge;11226a;5619.84;63088331.00
;Positive Ränge;10b;4113.50;41135.00
;Bindungen;0c;;
;Gesamt;11236;;
ju - gar;Negative Ränge;11232d;5616.77;63087610.00
;Positive Ränge;4e;10464.00;41856.00
;Bindungen;0f;;
;Gesamt;11236;;
ju - interval;Negative Ränge;11228g;5620.46;63106494.00
;Positive Ränge;8h;2871.50;22972.00
;Bindungen;0i;;
;Gesamt;11236;;
ju - parson;Negative Ränge;11232j;5618.67;63108930.00
;Positive Ränge;4k;5134.00;20536.00
;Bindungen;0l;;
;Gesamt;11236;;
a. ju < ms;;;;
b. ju > ms;;;;
c. ju = ms;;;;
d. ju < gar;;;;
e. ju > gar;;;;
f. ju = gar;;;;
g. ju < interval;;;;
h. ju > interval;;;;
i. ju = interval;;;;
j. ju < parson;;;;
k. ju > parson;;;;
l. ju = parson;;;;
