A;B;shapetime;ms;gar;interval;parson
deut4398;deut4398;6,5514;1;1;1;1
deut4398;deut4400;0,04099355;0,6590038314;0,5769642857;0,2783505155;0,5360824742
deut4398;deut4412;-0,06672953;0,4474329502;0,5696;0,3235294118;0,5441176471
deut4398;deut4424;-0,08230619;0,1999233716;0,3165333333;0,2647058824;0,3676470588
deut4398;deut4429;-0,05909612;0,4453639847;0,4569333333;0,2794117647;0,4117647059
deut4398;deut4430;-0,02858759;0,1513793103;0,2854666667;0,2794117647;0,4117647059
deut4398;deut4437;0,16341157;0,4065517241;0,6079333333;0,4117647059;0,6176470588
deut4398;deut4456;-0,0696437;0,1922605364;0,2690666667;0,2941176471;0,4117647059
deut4398;deut4472;0,1160256;0,2503831418;0,4555333333;0,3529411765;0,5147058824
deut4398;deut4491;-0,08898261;0,392183908;0,5610666667;0,2794117647;0,5
deut4399;deut4399;6,5514;1;1;1;1
deut4399;deut4400;-0,02956989;0,5166940339;0,49625;0,2783505155;0,587628866
deut4399;deut4417;-0,01865906;0,1619398634;0,328134058;0,2272727273;0,4545454545
deut4399;deut4431;0,01783218;0,5853687739;0,4139583333;0,3230769231;0,4615384615
deut4399;deut4440;0,0034037;0,5948503923;0,3900793651;0,2615384615;0,5538461538
deut4399;deut4445;-0,02150538;0,374401341;0,36875;0,2763157895;0,5131578947
deut4399;deut4463;-0,03030303;0,2941810345;0,2886458333;0,2769230769;0,5692307692
deut4399;deut4476;-0,03100775;0,5767780172;0,2847916667;0,3076923077;0,5692307692
deut4399;deut4481;-0,01058983;0,5978687739;0,3806805556;0,2566371681;0,5044247788
deut4399;deut4483;-0,02134723;0,2886833493;0,4497916667;0,2567567568;0,5945945946
deut4400;deut4398;0,04099355;0,6590038314;0,5769642857;0,2783505155;0,5360824742
deut4400;deut4400;6,5514;1;1;1;1
deut4400;deut4403;0,11841437;0,2763067871;0,3680357143;0,2164948454;0,2680412371
deut4400;deut4425;-0,01893939;0,3527298851;0,3436904762;0,2680412371;0,412371134
deut4400;deut4431;-0,01690327;0,4106116585;0,4532738095;0,2371134021;0,3195876289
deut4400;deut4440;-0,00907768;0,6004720854;0,4830357143;0,3505154639;0,4948453608
deut4400;deut4452;-0,01772366;0,2754515599;0,4327380952;0,1649484536;0,3917525773
deut4400;deut4454;-0,01276232;0,2278325123;0,2873214286;0,2164948454;0,3092783505
deut4400;deut4463;0,04584394;0,1976087849;0,3217261905;0,2989690722;0,4536082474
deut4400;deut4476;-0,01162791;0,4377052545;0,4438690476;0,2886597938;0,4536082474
deut4401;deut4401;6,5514;1;1;1;1
deut4401;deut4407;0,15204584;0,2561844078;0,4203804348;0,2527472527;0,2747252747
deut4401;deut4416;0,18917049;0,420677682;0,4120833333;0,3043478261;0,3623188406
deut4401;deut4421;0,37448076;0,5492546695;0,34171875;0,28;0,52
deut4401;deut4437;0,57864927;0,5728268678;0,52640625;0,3703703704;0,4259259259
deut4401;deut4439;0,27288076;0,1060914118;0,2286084906;0,2380952381;0,2976190476
deut4401;deut4458;0,30846959;0,4311542146;0,4478125;0,2835820896;0,328358209
deut4401;deut4471;0,29779091;0,3521072797;0,3304166667;0,2444444444;0,2777777778
deut4401;deut4477;0,1164057;0,4580938697;0,5461458333;0,3617021277;0,4680851064
deut4401;deut4482;-0,01913202;0,599137931;0,4588333333;0,3863636364;0,5
deut4402;deut4400;-0,03510326;0,3612137384;0,4833333333;0,2783505155;0,4845360825
deut4402;deut4402;6,5514;1;1;1;1
deut4402;deut4423;-0,04299027;0,3077298851;0,41205;0,3214285714;0,5238095238
deut4402;deut4427;-0,03718325;0,373389063;0,3368181818;0,1891891892;0,5405405405
deut4402;deut4445;-0,02905569;0,4991292233;0,396969697;0,2894736842;0,5526315789
deut4402;deut4457;-0,04608054;0,3265385536;0,4591666667;0,3010752688;0,5376344086
deut4402;deut4458;-0,0518458;0,5164930556;0,3647916667;0,223880597;0,552238806
deut4402;deut4459;-0,04470574;0,2558429119;0,4439583333;0,24;0,6
