pair;A;B;ms;gar;interval;parson;shapeh;shapetime
1;DEUT4398.JSON;DEUT4398.JSON;1;1;1;1;0,97583589;6,5514
2;DEUT4398.JSON;DEUT4399.JSON;0,5719923372;0,146179402;0,2794117647;0,5294117647;-0,00139884;-0,0480226
3;DEUT4398.JSON;DEUT4400.JSON;0,6590038314;0,1160714286;0,2783505155;0,5360824742;0,01511714;0,04099355
4;DEUT4398.JSON;DEUT4401.JSON;0,3132950192;0,2766666667;0,2794117647;0,3676470588;-0,02486167;-0,13636364
5;DEUT4398.JSON;DEUT4402.JSON;0,4026436782;0,1066666667;0,25;0,6176470588;-0,02620206;-0,07758364
6;DEUT4398.JSON;DEUT4403.JSON;0,3018007663;0,0866666667;0,25;0,3823529412;-0,03800608;-0,1884058
7;DEUT4398.JSON;DEUT4404.JSON;0,4046360153;0,24;0,2794117647;0,3970588235;-0,02;0,06468782
8;DEUT4398.JSON;DEUT4405.JSON;0,2275478927;0,1578947368;0,25;0,4264705882;-0,01785714;-0,16666667
9;DEUT4398.JSON;DEUT4406.JSON;0,6560153257;0,0192926045;0,3088235294;0,4705882353;-0,02777778;-0,0952381
10;DEUT4398.JSON;DEUT4407.JSON;0,6689311594;0,2038043478;0,3296703297;0,5604395604;-0,02489196;-0,03844667
11;DEUT4398.JSON;DEUT4408.JSON;0,7277011494;0,0766666667;0,2058823529;0,6029411765;-0,00892857;-0,03706486
12;DEUT4398.JSON;DEUT4409.JSON;0,4473400635;0,0098684211;0,2647058824;0,5735294118;0,00682645;-0,02504073
13;DEUT4398.JSON;DEUT4410.JSON;0,7556336963;0,1710526316;0,2647058824;0,5441176471;-0,01960784;-0,04536708
14;DEUT4398.JSON;DEUT4411.JSON;0,3046743295;0,2066666667;0,1176470588;0,3529411765;-0,04545455;-0,08309499
15;DEUT4398.JSON;DEUT4412.JSON;0,4474329502;0,2450331126;0,3235294118;0,5441176471;0,02159821;-0,06672953
16;DEUT4398.JSON;DEUT4413.JSON;0,4311494253;0,0733333333;0,3088235294;0,6029411765;-0,01754386;-0,09142961
17;DEUT4398.JSON;DEUT4414.JSON;0,6358812261;0,11;0,3529411765;0,6470588235;0,00706185;0,02661637
18;DEUT4398.JSON;DEUT4415.JSON;0,1856321839;0,0149253731;0,3235294118;0,5735294118;-0,01021045;-0,03016175
19;DEUT4398.JSON;DEUT4416.JSON;0,5700766284;0,2417218543;0,2753623188;0,5797101449;-0,0094507;0,02491071
20;DEUT4398.JSON;DEUT4417.JSON;0,2558616525;0,008;0,3333333333;0,4772727273;0,00682645;-0,02542373
21;DEUT4398.JSON;DEUT4418.JSON;0,6381034483;0,3166666667;0,3088235294;0,4852941176;-0,03555994;-0,16666667
22;DEUT4398.JSON;DEUT4419.JSON;0,4691570881;0,0333333333;0,25;0,5588235294;0,00682645;-0,03499956
23;DEUT4398.JSON;DEUT4420.JSON;0,4691570881;0,03;0,2647058824;0,5588235294;0,00682645;-0,03499956
24;DEUT4398.JSON;DEUT4421.JSON;0,4046360153;0,1466666667;0,25;0,3676470588;-0,04347826;-0,1108527
25;DEUT4398.JSON;DEUT4422.JSON;0,5954597701;0,2233333333;0,3088235294;0,5;-0,02857143;-0,05725855
26;DEUT4398.JSON;DEUT4423.JSON;0,625;0,1525;0,2857142857;0,5595238095;-0,02455647;-0,03895219
27;DEUT4398.JSON;DEUT4424.JSON;0,1999233716;0,1282894737;0,2647058824;0,3676470588;0,01780814;-0,08230619
28;DEUT4398.JSON;DEUT4425.JSON;0,392183908;0,12;0,3529411765;0,5147058824;-0,00186512;-0,04166667
29;DEUT4398.JSON;DEUT4426.JSON;0,3532183908;0,2366666667;0,3676470588;0,5441176471;-0,01086957;-0,06296296
30;DEUT4398.JSON;DEUT4427.JSON;0,258697318;0,0132013201;0,3243243243;0,527027027;-0,02489196;-0,04382141
31;DEUT4398.JSON;DEUT4428.JSON;0,3027586207;0,1875;0,3529411765;0,5147058824;-0,02631579;-0,06274037
32;DEUT4398.JSON;DEUT4429.JSON;0,4453639847;0,09;0,2794117647;0,4117647059;0,03821221;-0,05909612
33;DEUT4398.JSON;DEUT4430.JSON;0,1513793103;0,0299003322;0,2794117647;0,4117647059;0,03821221;-0,02858759
34;DEUT4398.JSON;DEUT4431.JSON;0,4474329502;0,25;0,3823529412;0,4411764706;-0,00279768;-0,06185467
35;DEUT4398.JSON;DEUT4432.JSON;0,4046360153;0,2833333333;0,2352941176;0,4117647059;-0,05333991;-0,14768813
36;DEUT4398.JSON;DEUT4433.JSON;0,1988122605;0,0231788079;0,25;0,5882352941;-0,01;0,01055374
37;DEUT4398.JSON;DEUT4434.JSON;0,6548275862;0,1589403974;0,2790697674;0,5348837209;-0,01666667;-0,08133399
38;DEUT4398.JSON;DEUT4435.JSON;0,5477777778;0,1991247265;0,3382352941;0,5735294118;-0,00833333;-0,04537838
39;DEUT4398.JSON;DEUT4436.JSON;0,3979310345;0,24;0,2794117647;0,4411764706;-0,04814497;-0,05987654
40;DEUT4398.JSON;DEUT4437.JSON;0,4065517241;0,2483443709;0,4117647059;0,6176470588;0,03731578;0,16341157
41;DEUT4398.JSON;DEUT4438.JSON;0,572235434;0,0114285714;0,3529411765;0,6176470588;0,00819174;0,0309619
42;DEUT4398.JSON;DEUT4439.JSON;0,3126016591;0;0,3571428571;0,5595238095;-0,0094507;-0,03606212
43;DEUT4398.JSON;DEUT4440.JSON;0,6501724138;0,1059602649;0,3529411765;0,5588235294;-0,00152601;-0,03321825
44;DEUT4398.JSON;DEUT4441.JSON;0,3940996169;0,1866666667;0,3382352941;0,5294117647;-0,01315789;-0,06081081
45;DEUT4398.JSON;DEUT4442.JSON;0,364559387;0,1217105263;0,2794117647;0,5441176471;-0,03318928;-0,04142614
46;DEUT4398.JSON;DEUT4443.JSON;0,3703065134;0,1315789474;0,3235294118;0,5441176471;-0,02222222;-0,06142614
47;DEUT4398.JSON;DEUT4444.JSON;0,661637931;0,2239583333;0,3076923077;0,5384615385;-0,00833333;-0,03246281
48;DEUT4398.JSON;DEUT4445.JSON;0,2682758621;0,0231023102;0,3421052632;0,5263157895;0,00682645;-0,02542373
49;DEUT4398.JSON;DEUT4446.JSON;0,3902681992;0,1414473684;0,3088235294;0,5294117647;-0,0125;-0,07692308
50;DEUT4398.JSON;DEUT4447.JSON;0,7043869732;0,1933333333;0,2941176471;0,5294117647;-0,00909091;-0,03546862
51;DEUT4398.JSON;DEUT4448.JSON;0,6902478448;2,22044604925031E-16;0,3181818182;0,5909090909;-0,00833333;-0,02312919
52;DEUT4398.JSON;DEUT4449.JSON;0,6431842672;0,1614583333;0,3083333333;0,5;0,00682645;-0,0177631
53;DEUT4398.JSON;DEUT4450.JSON;0,6432142002;0,0598958333;0,3363636364;0,5545454545;0,00682645;-0,02135683
54;DEUT4398.JSON;DEUT4451.JSON;0,5719923372;0,201986755;0,2794117647;0,4852941176;-0,02439024;-0,07083333
55;DEUT4398.JSON;DEUT4452.JSON;0,3065900383;0,21;0,3235294118;0,5294117647;-0,00226839;-0,0462963
56;DEUT4398.JSON;DEUT4453.JSON;0,2475095785;0,1710526316;0,2941176471;0,4117647059;-0,05531547;-0,08778129
57;DEUT4398.JSON;DEUT4454.JSON;0,2503831418;0,1743421053;0,3088235294;0,4264705882;-0,00289415;-0,06547619
58;DEUT4398.JSON;DEUT4455.JSON;0,6043853073;0,0043763676;0,3088235294;0,4411764706;0,01462811;-0,05293999
59;DEUT4398.JSON;DEUT4456.JSON;0,1922605364;0,1066666667;0,2941176471;0,4117647059;0,0151699;-0,0696437
60;DEUT4398.JSON;DEUT4457.JSON;0,652972342;0,0338541667;0,3333333333;0,5268817204;-0,023604;-0,04586437
61;DEUT4398.JSON;DEUT4458.JSON;0,5193103448;0,0066006601;0,2647058824;0,5588235294;-0,02489196;-0,02120713
62;DEUT4398.JSON;DEUT4459.JSON;0,5666307471;0,1666666667;0,2666666667;0,52;-0,02489196;-0,03675732
63;DEUT4398.JSON;DEUT4460.JSON;0,6549808429;0,0099009901;0,3295454545;0,5340909091;-0,00833333;-0,05649718
64;DEUT4398.JSON;DEUT4461.JSON;0,527112069;0,0047058824;0,2721893491;0,3668639053;-0,00833333;-0,05649718
65;DEUT4398.JSON;DEUT4462.JSON;0,5825287356;0,1333333333;0,2647058824;0,5441176471;-0,02765773;-0,05543476
66;DEUT4398.JSON;DEUT4463.JSON;0,209348659;0,0627062706;0,4117647059;0,6029411765;0,00910194;-0,03409091
67;DEUT4398.JSON;DEUT4464.JSON;0,3759003831;0,1059602649;0,1428571429;0,5428571429;-0,01666667;-0,0476396
68;DEUT4398.JSON;DEUT4465.JSON;0,3385823755;0,0032786885;0,3414634146;0,5975609756;0,00682645;-0,01614719
69;DEUT4398.JSON;DEUT4466.JSON;0,2544740957;0,0036363636;0,34;0,55;-0,01666667;-0,03677179
70;DEUT4398.JSON;DEUT4467.JSON;0,5739846743;0,1677631579;0,3235294118;0,5882352941;-0,02567383;-0,06432108
71;DEUT4398.JSON;DEUT4468.JSON;0,3198467433;0,1546052632;0,2647058824;0,5735294118;-0,03197404;-0,06609677
72;DEUT4398.JSON;DEUT4469.JSON;0,3111494253;0,0528052805;0,3333333333;0,5797101449;-0,00833333;-0,01423778
73;DEUT4398.JSON;DEUT4470.JSON;0,1655172414;0,0099009901;0,3382352941;0,5735294118;-0,00980392;-0,04336162
74;DEUT4398.JSON;DEUT4471.JSON;0,641954023;0,0062305296;0,2555555556;0,5222222222;-0,01666667;-0,05084746
75;DEUT4398.JSON;DEUT4472.JSON;0,2503831418;0,1291390728;0,3529411765;0,5147058824;0,05143526;0,1160256
76;DEUT4398.JSON;DEUT4473.JSON;0,5729501916;0,2133333333;0,3088235294;0,5294117647;-0,01041667;0,02164113
77;DEUT4398.JSON;DEUT4474.JSON;0,5178544061;0,14;0,2352941176;0,4411764706;-0,03333333;-0,05374761
78;DEUT4398.JSON;DEUT4475.JSON;0,5191496049;0,0058252427;0,3260869565;0,4782608696;0,00682645;-0,01614719
79;DEUT4398.JSON;DEUT4476.JSON;0,4844827586;0,1513157895;0,3676470588;0,5441176471;0,0093088;-0,03488372
80;DEUT4398.JSON;DEUT4477.JSON;0,5892337165;0,2633333333;0,3676470588;0,5441176471;-0,02222222;-0,05385891
81;DEUT4398.JSON;DEUT4478.JSON;0,2522988506;0,15;0,3382352941;0,4411764706;-0,015625;-0,14516129
82;DEUT4398.JSON;DEUT4479.JSON;0,571302682;0;0,25;0,5096153846;-0,01666667;-0,03365085
83;DEUT4398.JSON;DEUT4480.JSON;0,2366321062;0;0,306122449;0,5204081633;-0,00833333;-0,03925763
84;DEUT4398.JSON;DEUT4481.JSON;0,6060344828;0,0164473684;0,3008849558;0,4778761062;-0,00139884;-0,01756727
85;DEUT4398.JSON;DEUT4482.JSON;0,364559387;0,1162790698;0,3970588235;0,5588235294;-0,02380952;-0,07723577
86;DEUT4398.JSON;DEUT4483.JSON;0,4634618455;0,0224913495;0,3378378378;0,5405405405;0,00682645;-0,02542373
87;DEUT4398.JSON;DEUT4484.JSON;0,2650426681;0,0358490566;0,3069306931;0,5148514851;-0,00963835;0,00027475
88;DEUT4398.JSON;DEUT4485.JSON;0,4503065134;0,26;0,2647058824;0,5147058824;-0,01351351;-0,01178501
89;DEUT4398.JSON;DEUT4486.JSON;0,3378927203;0,1133333333;0,3088235294;0,5147058824;-0,02857143;-0,09803922
90;DEUT4398.JSON;DEUT4487.JSON;0,3912260536;0,1677631579;0,2941176471;0,5;-0,04267193;-0,21078431
91;DEUT4398.JSON;DEUT4488.JSON;0,548045977;0,0164473684;0,2647058824;0,5882352941;-0,02666996;-0,13030303
92;DEUT4398.JSON;DEUT4489.JSON;0,3940996169;0,1395348837;0,2941176471;0,5147058824;-0,02857143;-0,09313725
93;DEUT4398.JSON;DEUT4490.JSON;0,5576245211;0,0953947368;0,25;0,6029411765;-0,01923077;-0,09150327
94;DEUT4398.JSON;DEUT4491.JSON;0,392183908;0,1125827815;0,2794117647;0,5;0,02838622;-0,08898261
95;DEUT4398.JSON;DEUT4492.JSON;0,5499616858;0,0328947368;0,2058823529;0,5588235294;-0,01785714;-0,08484848
96;DEUT4398.JSON;DEUT4493.JSON;0,5490038314;0,0822368421;0,25;0,6029411765;-0,02872149;-0,14052288
