k1;k3;similarity
0.1;0.1;0.053
0.2;0.1;0.033
0.3;0.1;0.006
0.4;0.1;0.000
0.5;0.1;0.000
0.6;0.1;0.000
0.7;0.1;0.000
0.8;0.1;0.000
0.9;0.1;0.000
1;0.1;0.000
0.1;0.2;0.227
0.2;0.2;0.058
0.3;0.2;0.047
0.4;0.2;0.031
0.5;0.2;0.000
0.6;0.2;0.000
0.7;0.2;0.000
0.8;0.2;0.000
0.9;0.2;0.000
1;0.2;0.000
0.1;0.3;0.333
0.2;0.3;0.188
0.3;0.3;0.081
0.4;0.3;0.044
0.5;0.3;0.030
0.6;0.3;0.000
0.7;0.3;0.000
0.8;0.3;0.000
0.9;0.3;0.000
1;0.3;0.000
0.1;0.4;0.391
0.2;0.4;0.281
0.3;0.4;0.195
0.4;0.4;0.123
0.5;0.4;0.084
0.6;0.4;0.045
0.7;0.4;0.023
0.8;0.4;0.010
0.9;0.4;0.004
1;0.4;0.004
0.1;0.5;0.439
0.2;0.5;0.344
0.3;0.5;0.269
0.4;0.5;0.205
0.5;0.5;0.162
0.6;0.5;0.131
0.7;0.5;0.116
0.8;0.5;0.103
0.9;0.5;0.094
1;0.5;0.084
0.1;0.6;0.473
0.2;0.6;0.391
0.3;0.6;0.323
0.4;0.6;0.272
0.5;0.6;0.233
0.6;0.6;0.201
0.7;0.6;0.190
0.8;0.6;0.182
0.9;0.6;0.174
1;0.6;0.167
0.1;0.7;0.498
0.2;0.7;0.424
0.3;0.7;0.366
0.4;0.7;0.329
0.5;0.7;0.296
0.6;0.7;0.269
0.7;0.7;0.246
0.8;0.7;0.239
0.9;0.7;0.232
1;0.7;0.225
0.1;0.8;0.521
0.2;0.8;0.449
0.3;0.8;0.406
0.4;0.8;0.372
0.5;0.8;0.345
0.6;0.8;0.323
0.7;0.8;0.302
0.8;0.8;0.283
0.9;0.8;0.275
1;0.8;0.270
0.1;0.9;0.540
0.2;0.9;0.476
0.3;0.9;0.438
0.4;0.9;0.407
0.5;0.9;0.385
0.6;0.9;0.365
0.7;0.9;0.348
0.8;0.9;0.331
0.9;0.9;0.314
1;0.9;0.307
0.1;1;0.559
0.2;1;0.499
0.3;1;0.464
0.4;1;0.438
0.5;1;0.416
0.6;1;0.401
0.7;1;0.385
0.8;1;0.370
0.9;1;0.354
1;1;0.339
