k1;k3;similarity;pair
0,1;0,1;0,207;1
0,2;0,1;0,171;1
0,3;0,1;0,151;1
0,4;0,1;0,151;1
0,5;0,1;0,151;1
0,6;0,1;0,151;1
0,7;0,1;0,151;1
0,8;0,1;0,151;1
0,9;0,1;0,151;1
1;0,1;0,151;1
0,1;0,2;0,303;1
0,2;0,2;0,222;1
0,3;0,2;0,201;1
0,4;0,2;0,187;1
0,5;0,2;0,178;1
0,6;0,2;0,168;1
0,7;0,2;0,168;1
0,8;0,2;0,168;1
0,9;0,2;0,168;1
1;0,2;0,168;1
0,1;0,3;0,377;1
0,2;0,3;0,294;1
0,3;0,3;0,235;1
0,4;0,3;0,217;1
0,5;0,3;0,208;1
0,6;0,3;0,202;1
0,7;0,3;0,195;1
0,8;0,3;0,193;1
0,9;0,3;0,191;1
1;0,3;0,189;1
0,1;0,4;0,433;1
0,2;0,4;0,359;1
0,3;0,4;0,296;1
0,4;0,4;0,249;1
0,5;0,4;0,237;1
0,6;0,4;0,229;1
0,7;0,4;0,224;1
0,8;0,4;0,222;1
0,9;0,4;0,22;1
1;0,4;0,219;1
0,1;0,5;0,472;1
0,2;0,5;0,407;1
0,3;0,5;0,347;1
0,4;0,5;0,297;1
0,5;0,5;0,263;1
0,6;0,5;0,251;1
0,7;0,5;0,246;1
0,8;0,5;0,241;1
0,9;0,5;0,238;1
1;0,5;0,237;1
0,1;0,6;0,502;1
0,2;0,6;0,444;1
0,3;0,6;0,389;1
0,4;0,6;0,34;1
0,5;0,6;0,298;1
0,6;0,6;0,271;1
0,7;0,6;0,262;1
0,8;0,6;0,258;1
0,9;0,6;0,253;1
1;0,6;0,249;1
0,1;0,7;0,537;1
0,2;0,7;0,474;1
0,3;0,7;0,424;1
0,4;0,7;0,377;1
0,5;0,7;0,335;1
0,6;0,7;0,299;1
0,7;0,7;0,278;1
0,8;0,7;0,27;1
0,9;0,7;0,266;1
1;0,7;0,262;1
0,1;0,8;0,567;1
0,2;0,8;0,507;1
0,3;0,8;0,452;1
0,4;0,8;0,409;1
0,5;0,8;0,368;1
0,6;0,8;0,331;1
0,7;0,8;0,301;1
0,8;0,8;0,282;1
0,9;0,8;0,275;1
1;0,8;0,272;1
0,1;0,9;0,595;1
0,2;0,9;0,538;1
0,3;0,9;0,485;1
0,4;0,9;0,436;1
0,5;0,9;0,397;1
0,6;0,9;0,36;1
0,7;0,9;0,327;1
0,8;0,9;0,303;1
0,9;0,9;0,286;1
1;0,9;0,28;1
0,1;1;0,619;1
