A;B;shapetime;ms;gar;interval;parson
deut4398;deut4398;6,5514;1;1;1;1
deut4398;deut4400;0,04099355;0,4449404762;0,1160714286;0,2783505155;0,5360824742
deut4398;deut4412;-0,06672953;0,3666666667;0,2450331126;0,3235294118;0,5441176471
deut4398;deut4424;-0,08230619;0,1666666667;0,1282894737;0,2647058824;0,3676470588
deut4398;deut4429;-0,05909612;0,3466666667;0,09;0,2794117647;0,4117647059
deut4398;deut4430;-0,02858759;0,13;0,0299003322;0,2794117647;0,4117647059
deut4398;deut4437;0,16341157;0,36;0,2483443709;0,4117647059;0,6176470588
deut4398;deut4456;-0,0696437;0,14;0,1066666667;0,2941176471;0,4117647059
deut4398;deut4472;0,1160256;0,21;0,1291390728;0,3529411765;0,5147058824
deut4398;deut4491;-0,08898261;0,3066666667;0,1125827815;0,2794117647;0,5
deut4399;deut4399;6,5514;1;1;1;1
deut4399;deut4400;-0,02956989;0,4196428571;0,1513353116;0,2783505155;0,587628866
deut4399;deut4417;-0,01865906;0,1322463768;0;0,2272727273;0,4545454545
deut4399;deut4431;0,01783218;0,3619791667;0;0,3230769231;0,4615384615
deut4399;deut4440;0,0034037;0,3174603175;0;0,2615384615;0,5538461538
deut4399;deut4445;-0,02150538;0,2161458333;0;0,2763157895;0,5131578947
deut4399;deut4463;-0,03030303;0,1666666667;0,0255102041;0,2769230769;0,5692307692
deut4399;deut4476;-0,03100775;0,265625;0;0,3076923077;0,5692307692
deut4399;deut4481;-0,01058983;0,3659722222;0,0205479452;0,2566371681;0,5044247788
deut4399;deut4483;-0,02134723;0,1814236111;0;0,2567567568;0,5945945946
deut4400;deut4398;0,04099355;0,4449404762;0,1160714286;0,2783505155;0,5360824742
deut4400;deut4400;6,5514;1;1;1;1
deut4400;deut4403;0,11841437;0,2529761905;0,1696428571;0,2164948454;0,2680412371
deut4400;deut4425;-0,01893939;0,2857142857;0,125;0,2680412371;0,412371134
deut4400;deut4431;-0,01690327;0,3660714286;0,2142857143;0,2371134021;0,3195876289
deut4400;deut4440;-0,00907768;0,3898809524;0,0178571429;0,3505154639;0,4948453608
deut4400;deut4452;-0,01772366;0,25;0,2142857143;0,1649484536;0,3917525773
deut4400;deut4454;-0,01276232;0,2023809524;0,1428571429;0,2164948454;0,3092783505
deut4400;deut4463;0,04584394;0,1607142857;0,0443786982;0,2989690722;0,4536082474
deut4400;deut4476;-0,01162791;0,3601190476;0,1755952381;0,2886597938;0,4536082474
deut4401;deut4401;6,5514;1;1;1;1
deut4401;deut4407;0,15204584;0,2445652174;0,214673913;0,2527472527;0,2747252747
deut4401;deut4416;0,18917049;0,2734375;0,15625;0,3043478261;0,3623188406
deut4401;deut4421;0,37448076;0,28515625;0,0392156863;0,28;0,52
deut4401;deut4437;0,57864927;0,421875;0,09375;0,3703703704;0,4259259259
deut4401;deut4439;0,27288076;0,0884433962;0,0410798122;0,2380952381;0,2976190476
deut4401;deut4458;0,30846959;0,2942708333;0,0625;0,2835820896;0,328358209
deut4401;deut4471;0,29779091;0,2604166667;0,0875;0,2444444444;0,2777777778
deut4401;deut4477;0,1164057;0,3802083333;0,1822916667;0,3617021277;0,4680851064
deut4401;deut4482;-0,01913202;0,3666666667;0;0,3863636364;0,5
deut4402;deut4400;-0,03510326;0,2857142857;0,0982142857;0,2783505155;0,4845360825
deut4402;deut4402;6,5514;1;1;1;1
deut4402;deut4423;-0,04299027;0,26;0;0,3214285714;0,5238095238
deut4402;deut4427;-0,03718325;0,1287878788;0,0066666667;0,1891891892;0,5405405405
